feature,importance
cnt_PASS__test_application_name,0.05834329762753583
cnt_DONE__power_on_vbat,0.05687577789466751
cnt_PASS__test_application_crc32,0.047441273417435766
cnt_PASS__test_application_release,0.04421362419631745
cnt_DONE__start_programming,0.040627228317880314
cnt_late_DONE,0.037273638876499385
count_DONE,0.03448388978450367
count_PASS,0.032228484623394366
cnt_late_PASS,0.030870954212066416
total_steps,0.02978574042906223
std_stepTime,0.029474612793933305
mean_measureValue,0.02297528659699019
mean_stepTime,0.022807039988783317
count_FAIL,0.022452986172414972
n_numeric,0.021200177096537598
fail_clusters,0.018847212671168217
test_duration_sec,0.01821389815951109
cnt_late_FAIL,0.01594978523892879
std_measureValue,0.01592178281300155
q75_measureValue,0.014073471275117938
cnt_PASS__tpl_pressure_at_mgdboost,0.012513047093761687
cnt_PASS__tpl_pressure_at_mgdmin,0.012341279380178911
cnt_PASS__flash_test_application_eth,0.010423273704115044
cnt_PASS__braketest_result,0.008958177122321321
cnt_PASS__flash_test_application,0.008097734140408935
max_measureValue,0.007565056384025975
cnt_PASS__lcu1_state,0.007316869334823949
cnt_PASS__mjf2_signal_after_braketest,0.007312214169568376
start_hour,0.007079836290311597
start_weekday,0.0070135847645581145
cnt_PASS__lcu2_code_id,0.006683900164251842
cnt_PASS__check_supplied_o_ring_kit,0.006557074761931877
cnt_DONE__test_base_arranged_to_ft0106512_109,0.006076997232439621
cnt_PASS__bc2_pressure_at_mgdboost,0.0059334285637418615
cnt_PASS__bc1_pressure_at_mgdboost,0.005506814841617295
cnt_PASS__bc1_pressure_rr1_active,0.005391205634640541
cnt_PASS__bc1_pressure_at_mgdmin,0.004750206461761908
cnt_PASS__mjf1_signal_after_braketest,0.004482052604674094
fail_any__tpl_pressure_at_mgdmin,0.004250246705830003
cnt_PASS__tpl_pressure_drop_30_sec,0.00410953145118095
cnt_PASS__lcu1_code_id,0.0037423050140988953
cnt_FAIL__tpl_pressure_at_mgdmin,0.00345389206476347
cnt_PASS__mjf1_signal,0.003448873732797809
cnt_PASS__lcu2_state,0.0033752053607404298
cnt_DONE__test_base_arranged_to_ft0106512_111,0.0030992874411939495
cnt_PASS__bc2_electronic_pressure_switch_off_brake_applied,0.0029381303274532474
cnt_PASS__bc2_pressure_at_mgdmin,0.0029257998224208304
cnt_PASS__tlp2_measure,0.0027796475409800053
cnt_PASS__bc1_brake_released,0.0027460620476751976
cnt_PASS__bc2_pressure_rr2_active,0.00269953504859994
